"","country","week","meanflu","meantemp","meanRH","meanAH","varflu","vartemp","day"
"95","Australia",43,0.000452642857142857,18.015873015873,0.576269928571429,8.87476207142857,5.67810401098901e-07,0.814543481210147,297.5
"96","Australia",44,0.000447307692307692,18.4540598290598,0.578076384615385,9.138632,5.77637397435897e-07,1.25615305476417,304.5
"97","Australia",45,0.000350785714285714,19.4652777777778,0.586333357142857,9.82523364285714,2.48782950549451e-07,1.99301845916429,311.5
"98","Australia",46,0.000266,19.6954365079365,0.558858928571429,9.49941092857143,1.45857230769231e-07,1.53426116707367,318.5
"99","Australia",47,0.000239916666666667,20.4837962962963,0.577492666666667,10.2108793333333,1.38033901515152e-07,2.95937967639357,325.5
"100","Australia",48,0.000301583333333333,21.3344907407407,0.582156833333333,10.8546388333333,2.20220083333333e-07,2.81013111438459,332.5
"101","Australia",49,0.000264166666666667,21.4780092592593,0.564323083333333,10.67115275,1.10485787878788e-07,1.14546360596708,339.5
"102","Australia",50,0.000241916666666667,21.4467592592593,0.566454333333333,10.635242,2.13750628787879e-07,1.83480055181444,346.5
"103","Australia",51,0.000222583333333333,22.5833333333333,0.569563,11.413814,1.30692810606061e-07,2.75491021324355,353.5
"104","Australia",52,0.000227571428571429,22.6011904761905,0.552283714285714,11.0849561428571,1.95747186813187e-07,1.26894671686339,360.5
"105","Austria",1,0.000470222222222222,-0.995370370370371,0.810872333333333,3.76707822222222,2.07699944444444e-07,11.0922067901235,3.5
"106","Austria",2,0.001045625,-1.80902777777778,0.816518125,3.581949875,2.62914141071429e-06,13.5069306657848,10.5
"107","Austria",3,0.00296542857142857,-2.71428571428571,0.819414571428571,3.30468385714286,1.51225782857143e-05,4.17816725455615,17.5
"108","Austria",4,0.00349425,-1.17708333333333,0.83770475,3.784415875,2.33952150714286e-05,3.96625606261023,24.5
"109","Austria",5,0.006519,-2.52469135802469,0.758481888888889,3.17658811111111,4.573572525e-05,14.1568662122771,31.5
"110","Austria",6,0.00688325,-1.17534722222222,0.750016,3.496681125,6.11022393571429e-05,21.6148003472222,38.5
"111","Austria",7,0.00634355555555556,0.132716049382716,0.761934555555556,3.82123644444444,3.66176267777778e-05,18.4716006515775,45.5
"112","Austria",8,0.00643255555555556,0.373456790123457,0.760859888888889,3.86181011111111,3.92801375277778e-05,9.86228995198903,52.5
"113","Austria",9,0.0061711,2.65,0.7636746,4.465052,4.98769194333333e-05,5.06879286694102,59.5
"114","Austria",10,0.00427888888888889,3.2608024691358,0.695598,4.29858288888889,4.16191206111111e-05,9.43676590363512,66.5
"115","Austria",11,0.00336288888888889,4.89043209876543,0.721655666666667,4.95672177777778,2.80959433611111e-05,8.19977066186557,73.5
